jammer,jsr_db,seed,target_position,algorithm,role,interface_status,oracle_input_status,forbidden_keys_present,fit_status,exception_type,exception_message
NoiseProductJamming,0.0,6000,500,Identity,IDENTITY_BASELINE,PASS,PASS,,IDENTITY,,
NoiseProductJamming,0.0,6000,500,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,ORACLE_TRUE_TARGET_IDX,target_idx,LEGACY_ORACLE_TRUE_TARGET_IDX,,
NoiseProductJamming,0.0,6000,500,adapt_filter_fair,FAIR_PROTOTYPE_A,PASS,PASS,,FITTED_TOPK_PROTECTED_PROJECTION,,
NoiseProductJamming,0.0,6000,500,adapt_filter_fair_multihypothesis,FAIR_PROTOTYPE_B,PASS,PASS,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,,
NoiseProductJamming,0.0,6000,1500,Identity,IDENTITY_BASELINE,PASS,PASS,,IDENTITY,,
NoiseProductJamming,0.0,6000,1500,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,ORACLE_TRUE_TARGET_IDX,target_idx,LEGACY_ORACLE_TRUE_TARGET_IDX,,
NoiseProductJamming,0.0,6000,1500,adapt_filter_fair,FAIR_PROTOTYPE_A,PASS,PASS,,FITTED_TOPK_PROTECTED_PROJECTION,,
NoiseProductJamming,0.0,6000,1500,adapt_filter_fair_multihypothesis,FAIR_PROTOTYPE_B,PASS,PASS,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,,
NoiseProductJamming,0.0,6000,3500,Identity,IDENTITY_BASELINE,PASS,PASS,,IDENTITY,,
NoiseProductJamming,0.0,6000,3500,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,ORACLE_TRUE_TARGET_IDX,target_idx,LEGACY_ORACLE_TRUE_TARGET_IDX,,
NoiseProductJamming,0.0,6000,3500,adapt_filter_fair,FAIR_PROTOTYPE_A,PASS,PASS,,FITTED_TOPK_PROTECTED_PROJECTION,,
NoiseProductJamming,0.0,6000,3500,adapt_filter_fair_multihypothesis,FAIR_PROTOTYPE_B,PASS,PASS,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,,
